total_attempts,correct_attempts,accuracy,weighted_score,recent_accuracy,accuracy_trend,streak_length,avg_time_per_q,days_since_last,easy_accuracy,medium_accuracy,hard_accuracy,global_accuracy,topics_attempted,level,optimal_difficulty
8,6,0.6636,10.0616,0.7392,0.0719,1,15.05,16.22,0.6745,0.4609,0.1846,0.4865,4,intermediate,medium
22,16,0.6851,7.7314,0.584,-0.0385,2,21.51,38.57,0.6236,0.3634,0.2371,0.518,3,intermediate,medium
42,23,0.5066,11.2788,0.4042,-0.0156,6,24.52,16.78,0.7689,0.4165,0.2867,0.5336,15,intermediate,medium
31,25,0.8284,29.8204,0.5878323390632638,-0.2406,11,10.96,61.96610659928913,1.0,0.7281,0.6789,0.8559,7,advanced,hard
70,64,0.9203,8.5847,0.9044,0.0585,6,11.61,12.03,0.8997,0.7419,0.6698,0.904,18,advanced,hard
3,1,0.4301,2.2972,0.0925,-0.0266,3,25.36,37.6,0.4104,0.2858,0.0737,0.3635,3,beginner,easy
15,6,0.3884,2.5293,0.3125,-0.1342,1,35.78,47.97,0.622,0.3478,0.0,0.3515,2,beginner,easy
19,13,0.6619,8.0683,0.3699,0.1078,4,32.23,2.11,0.9007,0.4265,0.3542,0.6348,15,intermediate,medium
3,1,0.4445,0.0227,0.1873,0.0316,1,33.09,80.86,0.4884,0.3591,0.0,0.2307,1,beginner,easy
21,12,0.5825,10.3289,0.5677,0.104,0,31.13,34.45,0.745,0.414,0.235,0.6379,9,intermediate,medium
15,5,0.3154,1.555,0.0896,0.012,0,40.88,42.91,0.4046,0.1875,0.1326,0.1698,1,beginner,easy
0,0,0.0,2.0599,0.0,-0.0095,0,16.08,57.3,0.6223,0.3344,0.123,0.3261,2,beginner,easy
16,4,0.1834,0.4775,0.4298,-0.1234,3,51.66,7.97,0.5504,0.3294,0.073,0.1198,3,beginner,easy
7,3,0.3473,0.088,0.2238,-0.0746,1,54.66,83.92,0.5398,0.1332,0.0,0.3502,5,beginner,easy
0,0,0.0,0.0817,0.0,0.0757,0,26.98,13.37,0.4339,0.2143,0.1002,0.3318,2,beginner,easy
3,1,0.2099,2.3056,0.3598,-0.0974,0,37.35,88.07,0.4185,0.3466,0.1686,0.36,3,beginner,easy
18,6,0.3278,0.0609,0.3487,-0.0809,0,19.85,58.21,0.3623,0.2861,0.1188,0.1872,1,beginner,easy
88,77,0.9215,39.3457,1.0,0.0588,3,14.06,7.09,0.903,0.7655,0.8249,0.7733,24,advanced,hard
31,22,0.6826,5.9727,0.5663,-0.0324,1,12.1,9.13,0.8834,0.6542,0.4214,0.6511,5,intermediate,medium
29,22,0.7724,39.0988,0.876,0.0723,2,9.53,16.11,0.9392,0.8839,0.5515,0.85,7,advanced,hard
11,3,0.2155,1.2714,0.0943,-0.1319,3,54.32,23.12,0.5191,0.0808,0.1107,0.1669,3,beginner,easy
4,1,0.2148,1.9287,0.1398,-0.0639,3,39.19,39.32,0.3636,0.2598,0.0778,0.3366,3,beginner,easy
54,37,0.6867,6.1179,0.7719,-0.013,3,19.71,13.88,0.6121,0.7191,0.142,0.6443,7,intermediate,medium
0,0,0.0,2.4395,0.0,0.0312,0,54.14,44.2,0.3715,0.4057,0.2123,0.4461,2,beginner,easy
29,19,0.666,9.3977,0.7748,0.1191,1,11.01,42.5,0.6808,0.6763,0.2834,0.6577,12,intermediate,medium
11,4,0.3141,0.0199,0.2681,-0.1207,3,42.08,12.31,0.3392,0.3333,0.0419,0.3926,2,beginner,easy
14,3,0.2234,2.9672,0.2626,0.0005,0,20.45,57.11,0.6173,0.1455,0.1546,0.2859,5,beginner,easy
10,5,0.4783,2.0786,0.2372,0.0955,0,29.66,19.0,0.5055,0.3552,0.1482,0.3717,3,beginner,easy
13,6,0.4275,0.4166,0.331,0.0673,2,57.8,67.63,0.3897,0.2258,0.1275,0.4012,5,beginner,easy
37,19,0.5185,5.7998,0.778,-0.0114,8,22.59,30.67,0.7116,0.7106,0.2878,0.4127,6,intermediate,medium
8,2,0.289,1.9648,0.1568,0.0719,2,57.56,85.25,0.6701,0.2781,0.0683,0.4214,2,beginner,easy
6,1,0.1281,1.6524,0.2128,-0.1073,0,56.82,0.72,0.5037,0.0976,0.0,0.0938,3,beginner,easy
59,54,0.8808,35.6252,0.7111,0.0292,12,17.21,22.78,0.8555,0.695,0.5295,0.6165,14,advanced,hard
14,8,0.6038,7.3874,0.5087,0.1426,7,13.65,25.1,0.6891,0.6085,0.4511,0.6124,14,intermediate,medium
148,117,0.7684,20.1985,0.6573318534258039,-0.1111,16,19.08,139.02974305167066,0.9277,0.7426,0.6053,0.8976,8,advanced,hard
102,94,0.9353,31.0719,0.8692,-0.022,15,18.75,10.87,0.9185,0.864,0.7124,0.8829,13,advanced,hard
2,1,0.5,1.8528,0.5,0.0076,1,26.87,24.75,0.7072,0.2312,0.0443,0.3765,3,beginner,easy
12,4,0.4168,2.7875,0.4819,-0.0394,0,21.59,27.16,0.7417,0.2987,0.1532,0.4428,2,beginner,easy
6,3,0.4581,1.3022,0.2414,-0.1407,1,55.61,5.2,0.5367,0.2981,0.1162,0.29,3,beginner,easy
18,7,0.3691,1.8549,0.3505,-0.1094,0,55.73,40.23,0.5225,0.1076,0.1543,0.4046,2,beginner,easy
2,2,1.0,1.9605,1.0,-0.1438,2,50.64,29.6,0.3615,0.3578,0.1225,0.2836,3,beginner,easy
12,3,0.2633,2.4293,0.3337,-0.0064,3,33.55,74.26,0.4021,0.3855,0.2101,0.2194,5,beginner,easy
68,62,0.9619,10.8288,0.8526809341652231,-0.1092,17,6.56,122.81129808419998,0.9046,0.8695,0.7053,0.8837,7,advanced,hard
64,62,0.9335,20.5832,0.6656212530358607,-0.2679,5,10.15,212.24406771662703,0.8795,0.9047,0.734,0.6817,5,advanced,hard
87,73,0.7622,32.9,0.773,0.0128,7,17.25,24.04,0.7929,0.6847,0.6607,0.8082,22,advanced,hard
7,2,0.276,2.4218,0.5119,-0.0359,1,52.35,19.37,0.6755,0.2627,0.06,0.43,4,beginner,easy
55,31,0.533,2.3351,0.6654,0.0365,6,27.51,23.92,0.8936,0.6934,0.1531,0.4183,3,intermediate,medium
113,83,0.721,8.5415,0.7329,0.0639,16,10.26,28.21,0.938,0.8217,0.589,0.8825,17,advanced,hard
5,2,0.4355,2.8941,0.2998,-0.0989,1,34.03,40.62,0.5131,0.0894,0.1405,0.1825,5,beginner,easy
19,7,0.3464,0.2701,0.4699,0.0892,3,31.39,0.81,0.52,0.1794,0.0898,0.3964,1,beginner,easy
6,1,0.2177,2.9152,0.1152,0.0066,2,34.61,76.03,0.6317,0.1481,0.1256,0.3861,1,beginner,easy
35,34,0.9733,32.7856,0.8677,0.0977,10,18.0,26.73,0.9764,0.8826,0.5322,0.7987,23,advanced,hard
19,11,0.5607,5.5168,0.5067,0.0689,4,27.18,28.59,0.7061,0.6193,0.3163,0.4461,11,intermediate,medium
71,54,0.7624,14.2091,0.9867,-0.0313,14,5.03,12.76,0.958,0.7463,0.8909,0.6936,22,advanced,hard
56,52,0.9457,26.0744,0.8056,0.0633,9,10.18,6.67,0.9425,0.9427,0.5916,0.7434,8,advanced,hard
11,5,0.4041,1.5679,0.3103,0.061,0,33.05,65.58,0.5738,0.0586,0.1232,0.1742,1,beginner,easy
92,69,0.7282,28.9498,0.5513992766233696,-0.1768,18,6.32,245.56941700743448,0.9424,0.9109,0.7273,0.6862,24,advanced,hard
7,2,0.3273,2.4818,0.2407,0.0272,3,49.13,70.51,0.546,0.3841,0.0692,0.1898,4,beginner,easy
27,14,0.5066,6.4341,0.6347,0.0354,3,12.25,4.67,0.7163,0.6017,0.3033,0.5728,9,intermediate,medium
14,6,0.3794,1.6529,0.3933,0.045,2,41.05,34.16,0.4092,0.2221,0.169,0.3837,4,beginner,easy
14,6,0.4285,2.3692,0.4236,-0.1264,0,19.34,11.13,0.6331,0.306,0.1714,0.325,1,beginner,easy
16,7,0.4464,1.4205,0.2987,-0.1464,3,48.13,22.2,0.4445,0.2874,0.1919,0.3411,2,beginner,easy
6,2,0.2404,1.3353,0.2938,0.0838,0,51.32,28.05,0.3616,0.1497,0.0,0.2505,1,beginner,easy
17,6,0.3065,0.3962,0.0999,0.019,1,19.5,75.69,0.6456,0.2467,0.0,0.3301,2,beginner,easy
146,112,0.7637,22.5547,0.6995,-0.0373,18,12.18,4.49,0.9954,0.8598,0.5307,0.8103,24,advanced,hard
42,31,0.7726,31.1951,0.7737,-0.0033,10,10.34,7.54,0.9228,0.7836,0.7659,0.836,12,advanced,hard
8,4,0.4757,9.592,0.6145,-0.0025,3,23.8,44.99,0.9218,0.6101,0.2998,0.6338,4,intermediate,easy
8,2,0.2384,2.719,0.1486,0.045,3,34.98,1.59,0.3892,0.2082,0.1235,0.2606,5,beginner,easy
107,100,0.9201,13.3764,0.7844,0.063,16,6.88,24.25,0.8944,0.7773,0.6038,0.6793,7,advanced,hard
29,19,0.6699,9.4716,0.5966,0.0409,4,11.32,5.72,0.7122,0.5087,0.2969,0.4668,11,intermediate,medium
56,34,0.6066,7.2178,0.5858,0.146,2,15.34,11.28,0.9104,0.4866,0.1041,0.4712,15,intermediate,medium
50,35,0.7265,8.9206,0.4283,-0.0153,8,22.49,38.62,0.9554,0.6051,0.3947,0.6882,15,intermediate,medium
10,2,0.1889,0.9189,0.4171,-0.0153,0,50.56,64.89,0.4963,0.2854,0.093,0.2538,5,beginner,easy
62,54,0.8637,35.4797,0.7377,-0.0156,14,9.11,0.21,0.9483,0.7878,0.6272,0.7782,9,advanced,hard
0,0,0.0,0.4152,0.0,-0.0504,0,47.79,53.1,0.5498,0.3325,0.0718,0.2979,2,beginner,easy
19,5,0.2794,1.0767,0.3246,0.0158,0,55.18,61.04,0.5948,0.2974,0.1185,0.2217,5,beginner,easy
51,29,0.5777,2.8978,0.5427,0.1438,3,26.61,27.25,0.7993,0.7123,0.1444,0.6614,5,intermediate,medium
11,3,0.2547,0.5595,0.463,0.0841,3,15.58,46.1,0.5067,0.309,0.1085,0.1873,4,beginner,easy
23,11,0.4654,9.3294,0.6471,0.1043,5,11.6,15.85,0.7143,0.6208,0.3865,0.6012,14,intermediate,easy
4,1,0.1508,0.3497,0.4029,0.0967,3,37.57,6.07,0.6515,0.2156,0.0952,0.2625,5,beginner,easy
58,51,0.8992,14.1455,0.6585690470819484,-0.2406,10,14.64,161.3839802564405,0.8796,0.8178,0.728,0.8851,16,advanced,hard
45,21,0.4083,2.0909,0.6069,0.0163,5,31.27,14.77,0.6319,0.4576,0.3517,0.3551,10,intermediate,easy
0,0,0.0,0.3736,0.0,-0.0523,0,34.1,77.44,0.2814,0.2283,0.0654,0.3547,2,beginner,easy
52,47,0.9076,30.115,0.9298,0.0057,14,9.21,26.24,0.9653,0.8732,0.7525,0.8582,23,advanced,hard
29,16,0.5297,11.0859,0.5057,0.1478,0,32.62,43.27,0.8829,0.5118,0.1799,0.509,14,intermediate,medium
12,6,0.4294,0.2906,0.4463,-0.116,0,33.04,82.67,0.4377,0.1982,0.0699,0.2166,5,beginner,easy
17,6,0.3686,2.3615,0.2776,0.0004,1,50.4,11.8,0.5021,0.2929,0.1209,0.3314,1,beginner,easy
46,23,0.4959,5.8818,0.6473,0.0977,4,17.66,35.26,0.6138,0.4306,0.3336,0.6831,11,intermediate,medium
5,2,0.3978,1.6502,0.2121,-0.1069,3,30.5,21.43,0.4808,0.3123,0.0,0.2837,4,beginner,easy
10,5,0.46,11.3243,0.5787,0.1126,1,20.06,12.0,0.6356,0.4369,0.1619,0.4109,8,intermediate,easy
16,10,0.7003,10.6915,0.7377,-0.0096,1,19.5,24.46,0.7839,0.692,0.2959,0.4996,4,intermediate,medium
19,3,0.1467,2.0709,0.4488,-0.054,2,46.15,24.87,0.6814,0.2288,0.067,0.3693,1,beginner,easy
10,3,0.3359,1.0235,0.3487,0.0182,3,36.96,77.75,0.3539,0.2672,0.1767,0.2084,2,beginner,easy
12,2,0.1661,2.4412,0.26,-0.1173,2,47.91,76.19,0.6544,0.3299,0.1377,0.3207,4,beginner,easy
35,18,0.5537,5.7776,0.6569,0.141,1,33.92,37.1,0.7529,0.5258,0.2579,0.7056,11,intermediate,medium
34,24,0.6999,10.0478,0.4369,0.0292,1,15.59,26.9,0.6896,0.5679,0.238,0.6629,15,intermediate,medium
31,15,0.4708,3.605,0.7621,-0.0369,0,22.61,37.08,0.7047,0.4607,0.3161,0.617,7,intermediate,easy
2,0,0.0,0.9725,0.0,-0.12,0,55.17,55.76,0.3534,0.3406,0.1318,0.4154,5,beginner,easy
17,8,0.4811,2.9735,0.7272,0.0741,7,14.77,41.3,0.6815,0.6498,0.3063,0.4017,8,intermediate,easy
13,3,0.2393,2.9554,0.4854,0.0178,3,58.11,57.57,0.3372,0.1758,0.0309,0.184,5,beginner,easy
3,1,0.4013,1.6802,0.3936,-0.0593,3,45.24,41.47,0.3443,0.3815,0.1944,0.2407,2,beginner,easy
48,47,1.0,12.5408,0.8857608880883823,-0.1142,9,19.3,211.0539651943595,0.9805,0.7478,0.6951,0.8607,12,advanced,hard
16,3,0.1977,1.3889,0.2526,0.0145,2,26.11,45.11,0.7031,0.2209,0.13,0.3358,4,beginner,easy
1,0,0.1675,0.2741,0.162,-0.1114,2,31.11,27.73,0.5162,0.4061,0.1655,0.2088,4,beginner,easy
32,20,0.6174,4.5169,0.5976,0.0518,2,26.38,8.81,0.6267,0.4367,0.2894,0.402,11,intermediate,medium
49,28,0.6401,7.2558,0.4779,0.1246,5,28.89,0.2,0.8733,0.5538,0.3701,0.6537,11,intermediate,medium
16,6,0.407,0.5455,0.2395,0.0037,1,18.69,73.42,0.3473,0.1551,0.0643,0.1976,5,beginner,easy
